[2022-03-10 18:57:02,558][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:03,577][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:04,565][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:05,584][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:06,579][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:07,584][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:08,578][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:09,585][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:10,576][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:11,614][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:12,631][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:13,623][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:14,600][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:15,597][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:16,590][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:17,586][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:18,576][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:19,573][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:20,569][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:21,581][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:22,579][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:23,596][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:24,594][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:25,588][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:26,594][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:27,606][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:28,620][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:29,626][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:30,637][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:31,659][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:32,684][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:33,703][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:34,706][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:35,767][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:36,777][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:37,799][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:38,831][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:39,864][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:40,874][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:41,926][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:42,946][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:43,985][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:45,060][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:46,097][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:47,139][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:48,180][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:49,220][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:50,253][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:51,300][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:52,364][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:53,414][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:54,466][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:55,532][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:56,574][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:57,624][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:58,659][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:57:59,750][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:00,783][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:01,837][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:02,901][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:03,961][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:05,038][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:06,077][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:07,138][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:08,227][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:09,250][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:10,280][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:11,317][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:12,340][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:13,407][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:14,445][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:15,478][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:16,501][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:17,521][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:18,554][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:19,575][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:20,595][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:21,628][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:22,649][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:23,672][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:24,688][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:25,716][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:26,735][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:27,764][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:28,785][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:29,811][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:30,827][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:31,844][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:32,861][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:33,877][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:34,888][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:35,903][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:36,918][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:37,932][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 18:58:38,956][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
