Wall time,Step,Value
1648152539.375743,2002,-284.4342346191406
1648152543.0550451,4002,-266.1573791503906
1648152546.995998,6002,-262.2508239746094
1648152551.106833,8002,-255.54205322265625
1648152556.6909142,10002,-244.35337829589844
1648152561.215049,12002,-226.38082885742188
1648152566.808238,14002,-223.20443725585938
1648152571.75038,16002,-223.0674285888672
1648152576.6419551,18002,-218.1884765625
1648152583.0205371,20002,-219.10890197753906
1648152588.3189068,22002,-220.3374786376953
1648152594.2216809,24002,-216.5413055419922
1648152600.923101,26002,-216.06619262695312
1648152606.8826702,28002,-214.81173706054688
1648152613.206096,30002,-213.55718994140625
1648152619.053787,32002,-211.79452514648438
1648152625.4998798,34002,-210.3951416015625
1648152632.528,36002,-209.6126708984375
1648152639.2464042,38002,-207.42562866210938
1648152645.270984,40002,-205.6732177734375
1648152651.067426,42002,-205.07237243652344
1648152656.87687,44002,-203.86563110351562
1648152662.80724,46002,-202.02987670898438
1648152669.243408,48002,-201.66064453125
1648152675.1073081,50002,-202.74647521972656
1648152680.802537,52002,-201.79043579101562
1648152688.152815,54002,-200.27000427246094
1648152693.5112169,56002,-197.85943603515625
1648152698.618229,58002,-192.8964385986328
1648152704.535506,60002,-191.52667236328125
1648152710.386802,62002,-190.59681701660156
1648152716.502082,64002,-190.0274658203125
1648152723.294358,66002,-189.22201538085938
1648152728.9544902,68002,-188.427734375
1648152735.1602402,70002,-187.07589721679688
1648152742.259358,72002,-186.3267364501953
1648152748.6353102,74002,-185.59173583984375
1648152756.372107,76002,-184.55007934570312
1648152762.101564,78002,-186.0550537109375
1648152768.183761,80002,-184.74595642089844
1648152773.283013,82002,-182.56640625
1648152780.0746088,84002,-181.7737579345703
1648152785.559996,86002,-182.31033325195312
1648152790.810946,88002,-179.44989013671875
1648152796.3651578,90002,-180.92160034179688
1648152801.948978,92002,-180.2550811767578
1648152807.599168,94002,-175.2021942138672
1648152813.315742,96002,-173.7310028076172
1648152819.752813,98002,-171.9851837158203
1648152825.473521,100002,-174.45437622070312
