Wall time,Step,Value
1648837802.8852658,2002,-272.4342041015625
1648837808.526593,4002,-302.98431396484375
1648837813.9646652,6002,-271.7185974121094
1648837819.391484,8002,-260.86541748046875
1648837825.374202,10002,-241.46885681152344
1648837831.0016031,12002,-236.7334442138672
1648837836.4862201,14002,-227.23208618164062
1648837842.136889,16002,-217.20790100097656
1648837849.258739,18002,-221.9181671142578
1648837855.654782,20002,-218.30862426757812
1648837862.170712,22002,-215.66624450683594
1648837869.2862442,24002,-215.57191467285156
1648837876.0299351,26002,-208.11325073242188
1648837882.3269079,28002,-204.11013793945312
1648837890.116377,30002,-203.12387084960938
1648837896.815094,32002,-202.6575469970703
1648837904.2331939,34002,-201.94537353515625
1648837912.384799,36002,-201.41952514648438
1648837919.621264,38002,-200.7599639892578
1648837927.832426,40002,-199.34033203125
1648837935.6098921,42002,-198.3729248046875
1648837942.561075,44002,-197.69796752929688
1648837950.198349,46002,-196.98533630371094
1648837958.441452,48002,-197.21807861328125
1648837966.989355,50002,-196.18838500976562
1648837974.747655,52002,-195.24330139160156
1648837982.241867,54002,-194.0846405029297
1648837989.4862049,56002,-193.47726440429688
1648837997.33642,58002,-192.62901306152344
1648838005.656286,60002,-191.8824005126953
1648838013.4260612,62002,-190.7935333251953
1648838020.9948711,64002,-190.23849487304688
1648838028.0906749,66002,-188.8363494873047
1648838035.554558,68002,-187.17709350585938
1648838043.806856,70002,-186.3981475830078
1648838053.055785,72002,-185.6328582763672
1648838061.255056,74002,-184.69288635253906
1648838068.676691,76002,-184.8790740966797
1648838075.147016,78002,-180.88803100585938
1648838082.2252429,80002,-180.3636016845703
1648838088.922697,82002,-179.89231872558594
1648838097.097622,84002,-178.8020477294922
1648838105.0256362,86002,-176.1336669921875
1648838113.724585,88002,-176.34518432617188
1648838120.66847,90002,-172.1275634765625
1648838128.2958531,92002,-171.75967407226562
1648838135.678773,94002,-170.94622802734375
1648838142.2540429,96002,-166.24302673339844
1648838149.0909052,98002,-163.1160430908203
1648838155.827405,100002,-160.52105712890625
1648838163.666042,102002,-155.9495849609375
1648838170.910422,104002,-153.87171936035156
1648838178.397231,106002,-151.90684509277344
1648838185.704889,108002,-148.9613037109375
1648838193.191969,110002,-149.1999053955078
1648838200.201237,112002,-145.3597869873047
1648838207.2216089,114002,-139.56483459472656
1648838213.8143559,116002,-139.5934295654297
1648838220.8675141,118002,-139.56529235839844
1648838227.744259,120002,-139.60208129882812
1648838233.937077,122002,-133.7565155029297
1648838241.743111,124002,-131.609619140625
1648838249.011693,126002,-128.60006713867188
1648838255.6673532,128002,-123.05621337890625
1648838263.283511,130002,-114.64088439941406
1648838270.225803,132002,-113.15188598632812
1648838277.534951,134002,-113.49302673339844
1648838284.1137679,136002,-108.91888427734375
1648838291.230033,138002,-108.0423355102539
1648838297.574144,140002,-104.76182556152344
1648838304.8764129,142002,-102.0993881225586
1648838312.436618,144002,-100.46527862548828
1648838319.268992,146002,-97.73375701904297
1648838326.2731142,148002,-96.7579116821289
1648838333.6815438,150002,-91.07466888427734
1648838341.768853,152002,-91.45976257324219
