[2022-03-10 01:29:34,522][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:34,981][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:35,468][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:35,894][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:36,296][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:36,757][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:37,165][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:37,608][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:38,046][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:38,474][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:38,948][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:39,406][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:39,839][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:40,266][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:40,737][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:41,213][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:41,700][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:42,149][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:42,596][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:43,124][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:43,628][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:44,139][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:44,618][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:45,131][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:45,630][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:46,150][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:46,715][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:47,279][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:47,832][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:48,372][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:48,988][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:49,525][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:50,053][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:50,602][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:51,087][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:51,589][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:52,137][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:52,692][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:53,330][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:53,897][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:54,426][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:54,946][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:55,571][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:56,197][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:56,823][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:57,472][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:58,090][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:58,678][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:59,243][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:29:59,902][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:00,525][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:01,073][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:01,679][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:02,273][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:02,835][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:03,418][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:04,008][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:04,566][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:05,171][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:05,778][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:06,391][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:07,018][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:07,650][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:08,264][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:08,887][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:09,490][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:10,090][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:10,675][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:11,286][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:11,858][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:12,479][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:13,083][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:13,718][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:14,359][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:14,951][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:15,544][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:16,137][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:16,726][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:17,321][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:17,954][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:18,547][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:19,138][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:19,736][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:20,332][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:20,931][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:21,524][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:22,158][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:22,791][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:23,387][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:23,977][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:24,580][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:25,182][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:25,879][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:26,493][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:27,149][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:27,777][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:28,410][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:29,033][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:29,646][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
[2022-03-10 01:30:30,281][root][INFO] - Summary name Training Loss is illegal; using Training_Loss instead.
