Wall time,Step,Value
1648156104.02974,2002,-228.358642578125
1648156106.801965,4002,-265.01263427734375
1648156109.6370409,6002,-268.9967346191406
1648156112.466487,8002,-266.1639099121094
1648156115.2989461,10002,-242.8148651123047
1648156118.0898528,12002,-231.16769409179688
1648156121.09461,14002,-216.45787048339844
1648156124.0441759,16002,-214.12924194335938
1648156127.697196,18002,-214.834716796875
1648156131.0180538,20002,-204.74197387695312
1648156134.752917,22002,-203.56185913085938
1648156139.321534,24002,-201.54568481445312
1648156143.746639,26002,-200.48825073242188
1648156147.9148421,28002,-198.37953186035156
1648156152.81625,30002,-196.88665771484375
1648156157.444211,32002,-196.16856384277344
1648156161.448145,34002,-195.09239196777344
1648156165.412947,36002,-193.6305694580078
1648156170.416544,38002,-192.5701904296875
1648156175.798743,40002,-191.5900115966797
1648156179.7351308,42002,-190.71531677246094
1648156183.488435,44002,-189.94007873535156
1648156187.299247,46002,-189.03907775878906
1648156191.34308,48002,-188.38282775878906
1648156195.483392,50002,-188.70065307617188
1648156199.6559901,52002,-188.69049072265625
1648156204.060935,54002,-187.42724609375
1648156208.95751,56002,-186.7418975830078
1648156213.0794508,58002,-186.57765197753906
1648156216.772327,60002,-185.3340301513672
1648156220.3654542,62002,-187.049560546875
1648156224.64539,64002,-185.96607971191406
1648156229.301453,66002,-184.03680419921875
1648156234.1841059,68002,-182.79949951171875
1648156238.76144,70002,-182.04429626464844
1648156242.819872,72002,-181.7646026611328
1648156247.176107,74002,-181.96961975097656
1648156250.935742,76002,-180.5323486328125
1648156254.366873,78002,-173.32681274414062
1648156258.5799308,80002,-172.97488403320312
1648156262.225238,82002,-169.8252410888672
1648156265.576179,84002,-168.83175659179688
1648156269.53663,86002,-168.76246643066406
1648156273.596003,88002,-168.3590850830078
1648156278.3828638,90002,-160.8940887451172
1648156282.2601652,92002,-163.62725830078125
1648156286.0111969,94002,-163.97454833984375
1648156290.029376,96002,-163.09951782226562
1648156293.597867,98002,-158.1144561767578
1648156297.3426712,100002,-157.18380737304688
1648156301.425814,102002,-155.98268127441406
1648156305.380522,104002,-152.72889709472656
1648156309.957037,106002,-150.06272888183594
1648156314.6401222,108002,-146.92173767089844
1648156318.150523,110002,-142.11856079101562
1648156321.7379122,112002,-144.31011962890625
1648156326.311069,114002,-137.6581573486328
1648156330.1475148,116002,-137.82125854492188
1648156334.40767,118002,-135.42213439941406
1648156339.633108,120002,-131.3586883544922
1648156344.241442,122002,-130.15696716308594
1648156347.983101,124002,-129.138427734375
1648156351.508845,126002,-125.35794830322266
1648156355.1795478,128002,-121.23506927490234
1648156359.15467,130002,-118.05303192138672
1648156362.593027,132002,-111.08092498779297
1648156366.002696,134002,-106.61656951904297
1648156369.877293,136002,-105.95440673828125
1648156373.832921,138002,-105.99681091308594
1648156378.06432,140002,-103.16141510009766
1648156381.472388,142002,-98.63108825683594
1648156385.119692,144002,-92.12068176269531
1648156388.568522,146002,-87.69327545166016
1648156392.2973151,148002,-87.34860229492188
1648156396.763595,150002,-87.39546966552734
1648156399.988039,152002,-83.26702880859375
1648156403.648201,154002,-82.3898696899414
1648156407.128195,156002,-77.95638275146484
1648156411.0776489,158002,-71.41682434082031
1648156414.4614851,160002,-66.58245086669922
1648156418.829772,162002,-63.29341506958008
1648156422.210788,164002,-59.45142364501953
1648156425.8645482,166002,-59.10834884643555
1648156429.53331,168002,-58.607574462890625
1648156432.8314612,170002,-50.920066833496094
1648156436.0189598,172002,-41.067657470703125
1648156440.6666229,174002,-35.77583694458008
1648156444.2040231,176002,-34.77583312988281
1648156449.323872,178002,-33.72865295410156
1648156452.845563,180002,-27.36478614807129
1648156456.785575,182002,-24.56016731262207
1648156460.7103841,184002,-23.197025299072266
1648156465.1833751,186002,-22.63357925415039
1648156470.0908532,188002,-22.970945358276367
1648156474.168711,190002,-20.94649887084961
1648156477.497223,192002,-17.442838668823242
1648156480.904674,194002,-13.695322036743164
1648156484.295634,196002,-10.208352088928223
1648156487.473991,198002,-1.337071418762207
1648156491.946699,200002,-0.41660550236701965
1648156495.0149949,202002,4.221851348876953
1648156499.1186602,204002,4.4777445793151855
1648156502.340773,206002,7.279664039611816
1648156505.6361668,208002,18.799514770507812
1648156509.052995,210002,18.956188201904297
1648156512.50752,212002,22.75535774230957
1648156515.576127,214002,28.799100875854492
1648156518.949942,216002,35.04178237915039
1648156522.7689269,218002,33.65303039550781
1648156525.804926,220002,38.875282287597656
1648156529.4885418,222002,37.36923599243164
1648156533.5462332,224002,37.38789749145508
1648156537.079735,226002,37.668521881103516
1648156540.1980832,228002,50.024200439453125
1648156543.714912,230002,52.13958740234375
1648156547.7092428,232002,51.65795135498047
1648156551.7218099,234002,53.89400863647461
1648156555.38817,236002,55.64570999145508
1648156558.5635462,238002,57.66536331176758
1648156561.663023,240002,60.080623626708984
1648156565.002401,242002,65.5239486694336
1648156569.189182,244002,64.2657699584961
1648156572.233354,246002,61.84019088745117
1648156575.5928352,248002,62.99073791503906
1648156578.9661398,250002,66.61003112792969
1648156582.36484,252002,67.17301177978516
1648156585.438606,254002,75.74422454833984
1648156588.459956,256002,73.18460083007812
1648156591.780732,258002,78.65229034423828
1648156595.467228,260002,74.43875885009766
1648156599.174109,262002,71.4169692993164
1648156602.208769,264002,73.56253051757812
1648156606.403656,266002,69.45974731445312
1648156610.066497,268002,67.22756958007812
1648156613.035608,270002,71.21707916259766
1648156616.023652,272002,73.15867614746094
1648156619.360304,274002,69.38787078857422
1648156622.761756,276002,71.359375
1648156626.043652,278002,69.36499786376953
1648156629.644781,280002,67.89813995361328
1648156632.895807,282002,67.86076354980469
1648156636.339351,284002,65.15267181396484
1648156639.677839,286002,61.8610725402832
1648156643.296531,288002,64.51007080078125
1648156647.068094,290002,55.46533203125
1648156650.312063,292002,54.0935173034668
1648156653.573482,294002,52.756221771240234
1648156656.825807,296002,51.89570617675781
1648156660.7944372,298002,51.78812789916992
1648156664.843173,300002,50.444358825683594
1648156668.351885,302002,47.65587615966797
1648156672.19781,304002,46.896034240722656
1648156675.947258,306002,49.15822982788086
