Wall time,Step,Value
1648152554.3300521,2002,-263.18988037109375
1648152558.920767,4002,-265.5650939941406
1648152563.43976,6002,-265.86346435546875
1648152567.785905,8002,-267.9239501953125
1648152572.199153,10002,-269.406982421875
1648152576.68748,12002,-262.5498046875
1648152581.2567391,14002,-240.5410919189453
1648152586.2137759,16002,-228.75498962402344
1648152591.4092002,18002,-220.7308807373047
1648152598.306378,20002,-218.04124450683594
1648152603.181909,22002,-216.8946533203125
1648152609.662613,24002,-217.3853759765625
1648152615.266347,26002,-216.15367126464844
1648152621.738956,28002,-215.56809997558594
1648152627.185056,30002,-214.72195434570312
1648152632.9597828,32002,-209.03211975097656
1648152638.674996,34002,-207.89505004882812
1648152644.659899,36002,-209.07472229003906
1648152650.7493382,38002,-206.24815368652344
1648152656.3915908,40002,-205.27548217773438
1648152662.3959308,42002,-206.4607696533203
1648152668.935835,44002,-205.14601135253906
1648152674.9270458,46002,-202.325439453125
1648152680.7430882,48002,-201.12875366210938
1648152686.006975,50002,-199.03375244140625
1648152691.8760462,52002,-198.47677612304688
1648152697.560241,54002,-195.5061798095703
1648152703.7224882,56002,-194.22909545898438
1648152708.951245,58002,-195.32846069335938
1648152714.726872,60002,-196.00425720214844
1648152719.6712132,62002,-194.2425079345703
1648152725.218584,64002,-193.93612670898438
1648152730.3623512,66002,-192.95947265625
1648152735.88962,68002,-192.16844177246094
1648152742.129535,70002,-191.83094787597656
1648152747.265072,72002,-190.4877471923828
1648152753.456193,74002,-191.20645141601562
1648152760.316096,76002,-189.18673706054688
1648152766.462234,78002,-184.04641723632812
1648152772.7587998,80002,-183.7182159423828
1648152778.009923,82002,-181.79644775390625
1648152783.7565582,84002,-182.02772521972656
1648152789.364226,86002,-180.30226135253906
1648152794.925052,88002,-177.08497619628906
1648152800.319576,90002,-173.2742156982422
1648152805.552417,92002,-171.33395385742188
1648152811.8591099,94002,-168.2076873779297
1648152818.179583,96002,-168.61538696289062
1648152824.691058,98002,-165.34771728515625
1648152830.126404,100002,-159.21932983398438
1648152835.991246,102002,-159.29971313476562
1648152842.802051,104002,-156.81199645996094
1648152848.683142,106002,-148.22410583496094
1648152855.414869,108002,-145.1717529296875
1648152861.9971368,110002,-138.3057403564453
1648152869.839596,112002,-135.92042541503906
1648152878.0558789,114002,-138.50900268554688
1648152886.012063,116002,-131.3783721923828
1648152893.415352,118002,-127.3692855834961
1648152900.1298401,120002,-118.22118377685547
1648152907.123113,122002,-106.84896850585938
1648152915.0472882,124002,-104.5364761352539
1648152923.7058802,126002,-101.4349365234375
1648152931.19298,128002,-91.75926971435547
1648152941.008196,130002,-88.34278106689453
1648152948.318691,132002,-79.9181137084961
1648152955.8130188,134002,-66.0921401977539
1648152963.1631649,136002,-59.64396667480469
1648152969.364367,138002,-57.19432830810547
1648152974.680782,140002,-56.567413330078125
1648152980.605333,142002,-50.06922912597656
1648152985.9162612,144002,-47.4713020324707
1648152993.522712,146002,-46.60691833496094
1648153001.166283,148002,-45.216026306152344
1648153009.026866,150002,-41.8177490234375
1648153018.9946399,152002,-40.977943420410156
1648153027.63785,154002,-42.027984619140625
1648153035.527157,156002,-41.683834075927734
1648153042.2038841,158002,-32.85594177246094
1648153048.465379,160002,-24.48390007019043
1648153056.989024,162002,-22.573957443237305
1648153063.469455,164002,-18.35047721862793
1648153069.927688,166002,-13.810233116149902
1648153076.450988,168002,-8.495598793029785
1648153082.839207,170002,4.287156105041504
1648153091.587028,172002,5.48259162902832
1648153099.964892,174002,6.392473220825195
1648153107.045229,176002,6.111893653869629
1648153114.8563042,178002,7.921821117401123
1648153122.188034,180002,12.223731994628906
1648153129.53285,182002,22.713584899902344
1648153137.688542,184002,24.515514373779297
1648153144.458818,186002,26.90682029724121
1648153152.915856,188002,29.648820877075195
1648153160.269684,190002,36.06536102294922
1648153167.288374,192002,38.24244689941406
1648153173.792585,194002,42.021873474121094
1648153181.603552,196002,40.97502136230469
1648153190.3250802,198002,42.49602508544922
1648153197.6546292,200002,49.72404098510742
1648153205.605322,202002,47.76097869873047
1648153212.3881679,204002,49.050621032714844
1648153219.874723,206002,48.998748779296875
1648153227.3670669,208002,48.23014831542969
1648153234.926941,210002,53.39888381958008
1648153241.641664,212002,54.419368743896484
1648153248.906164,214002,55.609920501708984
1648153257.237877,216002,56.724884033203125
1648153264.14307,218002,61.488033294677734
1648153270.846428,220002,63.881141662597656
1648153277.2533069,222002,67.11064147949219
1648153286.454608,224002,64.68412780761719
1648153294.4169421,226002,62.48314666748047
1648153301.7104378,228002,63.07365417480469
1648153308.3193128,230002,62.149410247802734
1648153314.9446988,232002,60.765541076660156
1648153322.4503748,234002,63.14594650268555
1648153330.044885,236002,61.88189697265625
1648153337.1226912,238002,73.70050811767578
1648153343.857646,240002,76.35198974609375
1648153350.622359,242002,86.71051788330078
1648153356.803571,244002,89.56436157226562
1648153363.440959,246002,88.04438018798828
1648153370.012086,248002,96.23092651367188
1648153376.658701,250002,99.9056625366211
1648153383.2514188,252002,98.87589263916016
1648153389.6813152,254002,95.42752075195312
1648153395.8124878,256002,105.51997375488281
1648153402.201542,258002,109.81128692626953
1648153408.376917,260002,114.37954711914062
1648153414.768542,262002,114.43827819824219
1648153421.3725598,264002,120.64913177490234
1648153427.645777,266002,121.72997283935547
1648153434.291946,268002,124.3884048461914
1648153442.1331599,270002,119.04620361328125
1648153448.408501,272002,117.90711975097656
1648153454.9297862,274002,117.9549331665039
1648153463.4651961,276002,113.03336334228516
1648153471.240789,278002,110.75345611572266
1648153477.522434,280002,115.30978393554688
1648153484.523086,282002,117.24515533447266
1648153491.009891,284002,122.09539794921875
1648153497.4468212,286002,129.25494384765625
1648153503.765325,288002,136.1334228515625
1648153510.2520618,290002,129.7703399658203
1648153516.710429,292002,127.23224639892578
1648153523.494076,294002,124.47012329101562
1648153531.783963,296002,124.30045318603516
1648153538.558579,298002,125.49510192871094
1648153544.975183,300002,127.14701080322266
1648153551.3906019,302002,124.46070861816406
1648153557.838298,304002,121.84722137451172
1648153564.269623,306002,122.17798614501953
1648153570.541984,308002,123.92599487304688
1648153577.0306702,310002,122.2221450805664
1648153583.695668,312002,120.06524658203125
1648153590.473618,314002,117.2004165649414
1648153596.765326,316002,116.60810852050781
1648153604.145482,318002,112.24871063232422
1648153610.861279,320002,109.18860626220703
1648153617.139106,322002,111.87047576904297
1648153623.499703,324002,118.14859771728516
1648153629.783416,326002,117.7539291381836
1648153635.9954062,328002,111.63807678222656
1648153642.187072,330002,114.07588195800781
1648153648.323116,332002,109.8445816040039
1648153654.5073578,334002,111.90541076660156
1648153660.848166,336002,107.95197296142578
1648153666.9975119,338002,111.59146881103516
1648153673.2260869,340002,107.92174530029297
1648153679.791593,342002,104.40779876708984
1648153687.0516229,344002,103.74720764160156
1648153693.2108312,346002,103.44841003417969
1648153700.3401668,348002,100.19938659667969
1648153707.009983,350002,94.64569854736328
1648153714.4998841,352002,95.14393615722656
1648153720.67836,354002,90.80022430419922
1648153728.338666,356002,88.32190704345703
1648153734.745473,358002,75.99551391601562
1648153740.8980632,360002,70.20394134521484
1648153747.1957738,362002,62.122196197509766
1648153754.706018,364002,60.04301834106445
1648153761.309942,366002,52.54106903076172
1648153767.482869,368002,40.476558685302734
1648153776.445524,370002,37.84560012817383
1648153784.6641762,372002,34.15583419799805
1648153793.5635269,374002,32.87244415283203
1648153801.947351,376002,31.03360939025879
1648153808.769333,378002,19.674997329711914
1648153815.51023,380002,5.802505016326904
1648153823.287234,382002,-1.4910796880722046
1648153830.4337258,384002,-9.485541343688965
1648153837.2495208,386002,-10.774115562438965
1648153844.507723,388002,-29.439319610595703
1648153851.5823748,390002,-34.518028259277344
1648153858.716737,392002,-35.171470642089844
1648153866.049046,394002,-39.876590728759766
1648153872.339968,396002,-62.68120574951172
1648153879.58621,398002,-62.4678955078125
1648153886.410562,400002,-72.6906509399414
1648153892.730549,402002,-83.31686401367188
1648153899.480695,404002,-101.9549789428711
1648153905.936735,406002,-95.95779418945312
1648153912.641904,408002,-96.88861846923828
1648153919.0606358,410002,-102.27140808105469
1648153925.151382,412002,-104.9842529296875
1648153931.271276,414002,-116.6271743774414
1648153937.542704,416002,-106.04768371582031
1648153943.6751192,418002,-107.04461669921875
1648153950.522455,420002,-110.23245239257812
1648153956.5868921,422002,-112.3545913696289
1648153962.624522,424002,-106.61053466796875
1648153968.70556,426002,-118.51199340820312
1648153974.8427808,428002,-117.27623748779297
1648153980.866592,430002,-121.51426696777344
1648153987.086439,432002,-117.61737823486328
1648153993.147752,434002,-122.4007568359375
1648153999.31934,436002,-112.50259399414062
1648154005.388851,438002,-120.89537048339844
1648154011.774546,440002,-135.9709014892578
1648154017.87176,442002,-134.11099243164062
1648154024.031778,444002,-131.74261474609375
1648154030.0535638,446002,-126.89471435546875
1648154036.1252842,448002,-123.58141326904297
1648154042.2237859,450002,-117.63468170166016
1648154048.229805,452002,-109.0420150756836
1648154054.3118908,454002,-99.6611099243164
1648154060.394526,456002,-81.47339630126953
1648154066.522159,458002,-73.8756103515625
1648154072.6615522,460002,-68.72019958496094
1648154078.78904,462002,-59.21075439453125
1648154084.914902,464002,-57.100276947021484
1648154090.982632,466002,-39.75143051147461
1648154097.130937,468002,-34.025970458984375
1648154103.304367,470002,-33.731929779052734
1648154109.328681,472002,-26.02981948852539
1648154115.4448562,474002,-26.330657958984375
1648154121.545109,476002,-29.40900421142578
1648154127.628587,478002,-19.38109016418457
1648154133.698139,480002,-21.228961944580078
1648154139.796841,482002,-24.569095611572266
1648154145.870474,484002,-17.639360427856445
1648154151.964024,486002,-17.38932991027832
1648154158.102292,488002,-20.912879943847656
1648154164.105162,490002,-13.757587432861328
1648154170.239048,492002,-26.090208053588867
1648154176.271081,494002,-35.341129302978516
1648154182.281054,496002,-45.54713439941406
1648154188.4091,498002,-57.9123649597168
1648154194.398826,500002,-49.37596130371094
1648154200.406813,502002,-59.87357711791992
1648154206.417685,504002,-61.89327621459961
1648154212.426892,506002,-61.77845764160156
1648154218.44748,508002,-67.3438720703125
1648154224.465373,510002,-66.26567077636719
1648154230.483184,512002,-62.34116744995117
1648154236.540731,514002,-51.63713073730469
1648154242.548009,516002,-36.89196014404297
1648154248.6305668,518002,-37.331077575683594
1648154254.622352,520002,-29.58219337463379
1648154260.603792,522002,-30.453981399536133
1648154266.6605499,524002,-26.75016975402832
1648154272.662076,526002,-28.70125961303711
1648154278.698515,528002,-33.22416687011719
1648154284.661118,530002,-35.167659759521484
1648154290.7358332,532002,-34.014732360839844
1648154296.7359612,534002,-44.003501892089844
1648154302.769581,536002,-53.42839813232422
1648154308.795499,538002,-63.41976547241211
1648154314.9101021,540002,-57.036617279052734
1648154320.9220061,542002,-59.37887954711914
1648154326.954221,544002,-61.314598083496094
1648154332.926882,546002,-57.902950286865234
1648154338.909624,548002,-51.81218719482422
1648154344.8704681,550002,-52.05341339111328
1648154350.8028271,552002,-41.645084381103516
1648154358.2018518,554002,-41.253135681152344
1648154364.17078,556002,-39.419734954833984
1648154370.159467,558002,-35.91106033325195
1648154376.1808362,560002,-28.640892028808594
1648154382.174047,562002,-19.14808464050293
1648154388.16106,564002,-17.445194244384766
1648154394.171242,566002,-15.407890319824219
1648154400.250805,568002,-15.384018898010254
1648154406.22668,570002,-8.670209884643555
1648154412.2189639,572002,5.249995231628418
1648154418.4092102,574002,-2.5424816608428955
1648154424.808362,576002,-9.899420738220215
1648154430.8344479,578002,-18.187265396118164
1648154436.411978,580002,-13.986247062683105
1648154441.959658,582002,-5.750791549682617
1648154447.783454,584002,-13.275131225585938
1648154453.441258,586002,-18.298242568969727
1648154459.042597,588002,-10.089824676513672
1648154464.790307,590002,-4.062264442443848
1648154470.380482,592002,4.249134540557861
1648154476.012564,594002,2.0394287109375
1648154481.198066,596002,-2.170011043548584
1648154486.266102,598002,6.379814147949219
