Wall time,Step,Value
1648837785.250127,2002,-269.7489013671875
1648837789.7531059,4002,-271.651123046875
1648837795.4570649,6002,-276.0003967285156
1648837801.0661812,8002,-271.0168762207031
1648837807.0151849,10002,-241.12973022460938
1648837812.6586099,12002,-233.0572967529297
1648837818.245179,14002,-216.67236328125
1648837824.348573,16002,-208.29930114746094
1648837830.082368,18002,-207.58322143554688
1648837836.0166268,20002,-194.49656677246094
1648837842.87836,22002,-194.32032775878906
1648837851.968014,24002,-192.78749084472656
1648837859.304883,26002,-191.42356872558594
1648837866.6344142,28002,-188.81146240234375
1648837874.241573,30002,-184.87539672851562
1648837881.919553,32002,-184.60105895996094
1648837889.472306,34002,-183.9234161376953
1648837896.4131908,36002,-182.6029815673828
1648837903.649241,38002,-183.38320922851562
1648837912.546821,40002,-182.2957763671875
1648837918.624608,42002,-181.46971130371094
1648837924.828813,44002,-180.25927734375
1648837931.905926,46002,-179.741455078125
1648837938.694464,48002,-180.69058227539062
1648837945.5946748,50002,-179.73739624023438
1648837953.747645,52002,-180.26882934570312
1648837961.650069,54002,-179.79544067382812
1648837970.3942919,56002,-178.69207763671875
1648837977.6203609,58002,-179.96383666992188
1648837985.424704,60002,-179.24281311035156
1648837992.744576,62002,-178.7727813720703
1648838000.370452,64002,-178.32554626464844
1648838008.7084951,66002,-176.34893798828125
1648838015.7014122,68002,-175.63021850585938
1648838023.3721018,70002,-175.16566467285156
1648838030.7846808,72002,-173.47044372558594
1648838038.286923,74002,-173.7984161376953
1648838045.989334,76002,-172.6956787109375
1648838053.465267,78002,-172.16709899902344
1648838060.868791,80002,-171.73287963867188
1648838067.803146,82002,-167.70584106445312
1648838074.553104,84002,-167.31173706054688
1648838081.513351,86002,-166.7142791748047
1648838089.6106281,88002,-165.77639770507812
1648838097.319689,90002,-163.21829223632812
1648838104.399626,92002,-161.13580322265625
1648838112.291683,94002,-161.669677734375
1648838118.886146,96002,-155.02015686035156
1648838125.231309,98002,-158.78660583496094
1648838132.9192472,100002,-156.35398864746094
1648838140.037537,102002,-156.04566955566406
1648838146.895079,104002,-153.68563842773438
1648838153.623721,106002,-150.65518188476562
1648838160.536608,108002,-150.35891723632812
1648838167.139649,110002,-144.95498657226562
1648838174.2794912,112002,-144.5057830810547
1648838181.3383622,114002,-135.8968505859375
1648838188.457856,116002,-132.56649780273438
1648838195.781627,118002,-130.6422882080078
1648838202.3496242,120002,-128.8230438232422
1648838209.3573601,122002,-127.49308776855469
1648838217.404599,124002,-126.31583404541016
1648838224.286695,126002,-118.60509490966797
1648838231.935013,128002,-116.58928680419922
1648838238.491882,130002,-113.91357421875
1648838246.1367922,132002,-111.59483337402344
1648838253.413311,134002,-109.42618560791016
1648838260.309697,136002,-103.2762680053711
1648838267.13198,138002,-99.90467071533203
1648838273.641657,140002,-98.89472198486328
1648838280.1155798,142002,-93.83326721191406
1648838287.891969,144002,-91.63272094726562
1648838295.160099,146002,-89.62025451660156
1648838303.370073,148002,-88.16292572021484
1648838311.5702221,150002,-87.8212890625
1648838319.380606,152002,-88.16649627685547
1648838326.262042,154002,-87.37300872802734
1648838332.523067,156002,-80.41413116455078
1648838339.093656,158002,-74.6949234008789
1648838345.4533272,160002,-70.08650970458984
1648838353.070276,162002,-71.87271118164062
1648838360.650211,164002,-66.43128967285156
1648838367.999678,166002,-62.480194091796875
1648838374.205023,168002,-59.4760856628418
1648838381.456545,170002,-59.41993713378906
1648838388.478555,172002,-55.98963928222656
1648838396.0262861,174002,-53.350791931152344
1648838403.282673,176002,-49.70171356201172
1648838409.215799,178002,-38.22500228881836
1648838415.5881789,180002,-35.804500579833984
1648838424.356224,182002,-33.71830749511719
1648838431.334342,184002,-27.735029220581055
1648838438.820721,186002,-26.238727569580078
1648838446.4712179,188002,-23.4655704498291
1648838453.990331,190002,-17.315427780151367
1648838461.3922648,192002,-13.3819580078125
1648838468.2678652,194002,-12.64844036102295
1648838476.6769369,196002,-13.554120063781738
1648838483.006774,198002,-6.546602725982666
1648838491.9595509,200002,-4.879509449005127
1648838501.024514,202002,-5.185353755950928
1648838508.226462,204002,-5.353658199310303
1648838515.4383411,206002,-4.071442127227783
1648838521.700462,208002,1.1087374687194824
1648838529.383467,210002,1.034467101097107
1648838537.9270358,212002,0.9719390273094177
1648838543.933036,214002,0.640454888343811
1648838550.171516,216002,-0.7305480241775513
1648838558.107133,218002,-2.3018953800201416
1648838565.087428,220002,-1.6597728729248047
1648838571.704337,222002,-6.198848247528076
1648838578.217449,224002,-10.011921882629395
1648838584.346254,226002,-13.730896949768066
1648838590.1549141,228002,-21.7051944732666
1648838596.485822,230002,-21.342697143554688
1648838602.39438,232002,-26.753681182861328
1648838609.668836,234002,-26.36789321899414
1648838615.9822888,236002,-28.33324432373047
1648838622.4696279,238002,-26.434467315673828
1648838628.1420789,240002,-27.08639144897461
1648838634.039401,242002,-30.291751861572266
1648838640.203116,244002,-37.33157730102539
1648838647.974658,246002,-38.57501983642578
1648838654.5239549,248002,-40.34212875366211
1648838661.631256,250002,-45.8135871887207
1648838667.645417,252002,-43.0277214050293
1648838674.749567,254002,-42.459476470947266
1648838680.819798,256002,-39.3889274597168
1648838686.732876,258002,-41.695068359375
1648838693.327701,260002,-40.09128952026367
1648838699.322189,262002,-46.97817611694336
1648838705.509888,264002,-43.19976806640625
1648838712.370825,266002,-38.76585006713867
1648838718.7557938,268002,-40.592567443847656
1648838725.2615511,270002,-39.07952117919922
1648838735.574204,272002,-38.765289306640625
1648838742.88172,274002,-37.43363571166992
1648838751.651329,276002,-37.824684143066406
1648838759.567504,278002,-42.17222213745117
1648838766.372958,280002,-39.33525085449219
1648838774.012034,282002,-38.35568618774414
1648838782.122304,284002,-38.534217834472656
1648838790.052475,286002,-39.796939849853516
1648838797.562736,288002,-38.26700210571289
1648838804.7050838,290002,-39.963932037353516
1648838811.762547,292002,-44.99365234375
1648838819.309196,294002,-44.213890075683594
1648838827.358577,296002,-44.72135543823242
1648838833.4670541,298002,-42.558685302734375
1648838840.623623,300002,-42.81248092651367
1648838847.966623,302002,-47.252220153808594
1648838854.581003,304002,-52.8863639831543
1648838863.30897,306002,-55.27296829223633
1648838870.7794502,308002,-55.54729461669922
1648838877.883105,310002,-55.66416931152344
1648838886.5521238,312002,-54.784427642822266
1648838893.303657,314002,-61.93231964111328
1648838899.728624,316002,-64.58798217773438
1648838906.492631,318002,-68.17871856689453
1648838914.507742,320002,-67.41619110107422
1648838920.731657,322002,-67.35647583007812
1648838927.472842,324002,-70.1041488647461
1648838933.877888,326002,-75.2110366821289
1648838939.8640509,328002,-80.19573211669922
1648838949.293264,330002,-79.58988952636719
1648838956.312354,332002,-81.73960876464844
1648838962.4858172,334002,-84.55855560302734
1648838969.072591,336002,-84.30683135986328
1648838976.365089,338002,-86.61316680908203
1648838983.9939358,340002,-88.02291107177734
1648838991.202878,342002,-92.16597747802734
1648838998.17248,344002,-98.14871978759766
1648839006.145149,346002,-105.116943359375
1648839013.467529,348002,-102.83683013916016
1648839021.671204,350002,-104.1234359741211
1648839028.733655,352002,-104.17330932617188
1648839036.3019059,354002,-104.68384552001953
1648839043.366765,356002,-107.3565444946289
1648839052.688013,358002,-107.49026489257812
1648839059.776295,360002,-110.43235778808594
1648839067.532861,362002,-111.11398315429688
1648839075.290544,364002,-108.62553405761719
1648839082.6779048,366002,-111.60054016113281
1648839089.7040188,368002,-112.35726165771484
1648839097.51894,370002,-113.85894775390625
1648839104.7495239,372002,-114.10014343261719
1648839111.0804281,374002,-119.63844299316406
1648839118.543405,376002,-118.54346466064453
1648839125.5477278,378002,-119.15222930908203
1648839133.4604878,380002,-119.04573822021484
1648839139.628865,382002,-117.83873748779297
1648839146.068286,384002,-115.29638671875
1648839152.720854,386002,-109.7101058959961
1648839160.12447,388002,-110.21246337890625
1648839166.4265149,390002,-109.69126892089844
1648839173.559196,392002,-110.73626708984375
1648839180.0378199,394002,-109.4233627319336
1648839187.378827,396002,-105.234619140625
1648839197.926975,398002,-106.81632232666016
1648839204.3111548,400002,-102.88076782226562
1648839212.356436,402002,-100.8489990234375
1648839218.4646552,404002,-95.78099822998047
1648839226.836125,406002,-94.66925048828125
1648839234.728235,408002,-94.73497009277344
1648839240.66457,410002,-84.52839660644531
1648839249.1789372,412002,-83.40800476074219
1648839257.226578,414002,-85.52973175048828
1648839265.317028,416002,-86.12287139892578
1648839271.486221,418002,-79.9410171508789
1648839278.919343,420002,-81.07322692871094
1648839285.844595,422002,-77.86721801757812
1648839292.441925,424002,-79.47539520263672
1648839300.526749,426002,-81.34778594970703
1648839306.5243928,428002,-84.7229995727539
1648839313.9298282,430002,-83.7376480102539
1648839321.45255,432002,-80.95140075683594
1648839328.3149061,434002,-79.59989929199219
1648839334.1955469,436002,-80.64542388916016
1648839341.705374,438002,-80.47189331054688
1648839347.850029,440002,-76.7715072631836
1648839355.908211,442002,-79.55130004882812
1648839363.743032,444002,-77.29578399658203
1648839370.663234,446002,-79.15037536621094
1648839378.996098,448002,-80.34259796142578
1648839385.881054,450002,-73.50142669677734
1648839393.5873878,452002,-74.63253784179688
1648839400.1895611,454002,-70.56800842285156
1648839406.3380108,456002,-62.48502731323242
1648839413.553826,458002,-66.95285034179688
1648839420.191772,460002,-69.39492797851562
1648839426.024697,462002,-59.169254302978516
1648839432.218764,464002,-50.49742889404297
1648839438.744181,466002,-52.01641082763672
1648839445.8603258,468002,-47.95964813232422
