Wall time,Step,Value
1648842897.6354618,2002,-304.5823669433594
1648842900.927697,4002,-281.35992431640625
1648842904.468079,6002,-271.4047546386719
1648842908.9242501,8002,-248.7915802001953
1648842913.37351,10002,-237.08042907714844
1648842918.840669,12002,-220.54278564453125
1648842924.642307,14002,-210.66880798339844
1648842930.917771,16002,-195.46014404296875
1648842937.6626382,18002,-192.7005157470703
1648842945.5299578,20002,-187.54808044433594
1648842954.011968,22002,-184.7461700439453
1648842962.157977,24002,-180.10707092285156
1648842969.1099179,26002,-177.95529174804688
1648842977.184685,28002,-177.5742950439453
1648842985.2764008,30002,-176.36231994628906
1648842991.882049,32002,-175.4532470703125
1648843000.650553,34002,-174.73895263671875
1648843007.949713,36002,-174.27325439453125
1648843014.852257,38002,-173.29457092285156
1648843024.1471171,40002,-172.17185974121094
1648843031.825001,42002,-171.74917602539062
1648843039.5790038,44002,-171.6214599609375
1648843046.923338,46002,-170.26461791992188
1648843054.3262038,48002,-172.89964294433594
1648843060.825844,50002,-172.16334533691406
1648843067.819479,52002,-170.96710205078125
1648843074.546355,54002,-170.3892822265625
1648843081.718772,56002,-169.70526123046875
1648843090.1151822,58002,-168.57574462890625
1648843097.793238,60002,-167.87413024902344
1648843105.032207,62002,-167.4270477294922
1648843111.751175,64002,-166.83831787109375
1648843118.112284,66002,-166.34727478027344
1648843125.003745,68002,-166.06993103027344
1648843131.666543,70002,-165.24615478515625
1648843138.348543,72002,-158.58822631835938
1648843144.890081,74002,-157.77371215820312
1648843152.3162398,76002,-153.43870544433594
1648843160.566609,78002,-152.4971466064453
1648843167.4336882,80002,-152.04376220703125
1648843175.1458619,82002,-151.4014892578125
1648843181.061165,84002,-149.268310546875
1648843188.3679428,86002,-149.05029296875
1648843195.492455,88002,-148.3255157470703
1648843202.046514,90002,-143.06597900390625
1648843208.8094149,92002,-135.15443420410156
1648843216.838618,94002,-131.19647216796875
1648843226.063754,96002,-127.18238067626953
1648843235.6745658,98002,-122.80949401855469
1648843243.983872,100002,-120.27607727050781
1648843251.823762,102002,-114.94969177246094
1648843261.6781719,104002,-110.08214569091797
1648843269.498519,106002,-98.0127182006836
1648843278.271764,108002,-98.24429321289062
1648843287.376776,110002,-96.10607147216797
1648843295.68936,112002,-88.56208038330078
1648843303.94132,114002,-83.32108306884766
1648843311.8315709,116002,-82.08194732666016
1648843320.7736151,118002,-78.4091796875
1648843328.268609,120002,-72.80513000488281
1648843336.8069482,122002,-67.72866821289062
1648843346.8114161,124002,-69.19783782958984
1648843354.167157,126002,-68.06747436523438
1648843361.416703,128002,-60.54558181762695
1648843369.686435,130002,-55.83944320678711
1648843378.156267,132002,-52.214847564697266
1648843385.51504,134002,-42.64093780517578
1648843392.156351,136002,-34.01323318481445
1648843399.9447439,138002,-33.9486198425293
1648843407.168023,140002,-27.51508331298828
1648843413.973352,142002,-25.183277130126953
1648843421.819721,144002,-24.376415252685547
1648843429.462622,146002,-22.241117477416992
1648843435.889317,148002,-18.978471755981445
1648843442.438407,150002,-8.274633407592773
1648843450.5311282,152002,-7.384965896606445
1648843457.177953,154002,2.6103508472442627
1648843463.9267468,156002,10.485825538635254
1648843471.552927,158002,11.76416301727295
1648843478.5217679,160002,19.670516967773438
1648843485.654054,162002,19.355180740356445
1648843493.670175,164002,21.305932998657227
1648843501.233598,166002,17.573467254638672
1648843508.513552,168002,21.17306900024414
1648843515.767358,170002,20.832319259643555
1648843521.998247,172002,23.639883041381836
1648843528.2048268,174002,21.000307083129883
1648843534.346178,176002,11.660307884216309
1648843540.7484338,178002,10.832959175109863
1648843547.12132,180002,5.3390374183654785
1648843553.360976,182002,-5.381591796875
1648843559.6725981,184002,-14.854730606079102
1648843566.151595,186002,-20.226879119873047
1648843572.798988,188002,-25.40856170654297
1648843579.720791,190002,-29.49216651916504
1648843586.55494,192002,-31.025049209594727
1648843593.8751822,194002,-36.71580505371094
1648843600.255758,196002,-45.31446075439453
1648843606.6192079,198002,-45.59031295776367
1648843612.793031,200002,-47.21262741088867
1648843619.249069,202002,-51.300140380859375
1648843625.626234,204002,-45.236602783203125
